gss_code,electorate2017,electorate2018
E14000735,"76,549","76,063"
E14000736,"71,961","71,061"
E14000737,"71,666","69,422"
E14000738,"62,184","61,903"
E14000739,"73,736","72,667"
E14000740,"72,036","71,271"
E14000741,"78,319","77,481"
E14000742,"73,509","74,022"
E14000743,"70,004","69,978"
E14000744,"81,051","79,758"
E14000745,"72,251","71,293"
E14000746,"59,856","59,298"
E14000747,"79,317","78,922"
E14000748,"71,880","72,126"
E14000749,"75,053","74,374"
E14000750,"85,057","78,956"
E14000751,"81,200","80,377"
E14000752,"78,887","77,483"
E14000753,"82,362","82,893"
E14000754,"67,391","67,247"
E14000755,"71,145","69,897"
E14000756,"63,751","63,007"
E14000757,"83,371","83,328"
E14000758,"67,418","69,257"
E14000759,"73,538","70,159"
E14000760,"86,396","80,492"
E14000761,"73,477","72,993"
E14000762,"109,938","108,125"
E14000763,"71,051","68,908"
E14000764,"65,852","64,268"
E14000765,"64,777","64,524"
E14000766,"70,604","70,471"
E14000767,"65,349","65,440"
E14000768,"60,674","57,627"
E14000769,"70,589","70,486"
E14000770,"79,885","78,097"
E14000771,"65,032","64,593"
E14000772,"62,738","61,400"
E14000773,"59,081","58,638"
E14000774,"65,061","66,943"
E14000775,"81,749","82,373"
E14000776,"68,601","66,699"
E14000777,"84,272","78,095"
E14000778,"64,623","64,579"
E14000779,"67,590","67,264"
E14000780,"60,552","58,553"
E14000781,"65,021","63,954"
E14000782,"78,895","78,176"
E14000783,"75,341","73,097"
E14000784,"65,035","63,542"
E14000785,"74,941","74,672"
E14000786,"68,694","68,584"
E14000787,"65,970","65,020"
E14000788,"71,150","70,426"
E14000789,"74,576","72,385"
E14000790,"63,702","61,375"
E14000791,"73,486","73,876"
E14000792,"68,484","66,987"
E14000793,"69,419","68,526"
E14000794,"61,318","60,265"
E14000795,"60,506","59,759"
E14000796,"64,351","63,902"
E14000797,"73,863","73,927"
E14000798,"78,472","78,101"
E14000799,"67,403","66,675"
E14000800,"66,272","66,823"
E14000801,"66,055","66,626"
E14000802,"75,098","75,004"
E14000803,"74,951","73,784"
E14000804,"71,956","73,166"
E14000805,"73,355","72,966"
E14000806,"70,981","70,782"
E14000807,"88,488","86,233"
E14000808,"73,951","72,577"
E14000809,"71,330","69,948"
E14000810,"76,181","76,202"
E14000811,"73,491","73,406"
E14000812,"81,525","81,415"
E14000813,"84,212","84,055"
E14000814,"66,957","66,555"
E14000815,"64,277","63,546"
E14000816,"80,060","78,191"
E14000817,"83,395","83,064"
E14000818,"75,796","76,171"
E14000819,"59,744","58,518"
E14000820,"71,264","70,900"
E14000821,"88,630","87,654"
E14000822,"92,011","92,000"
E14000823,"67,669","67,449"
E14000824,"73,677","72,615"
E14000825,"68,246","65,474"
E14000826,"75,424","76,337"
E14000827,"72,256","72,167"
E14000828,"68,559","68,765"
E14000829,"74,447","73,963"
E14000830,"82,034","81,728"
E14000831,"53,420","53,362"
E14000832,"58,877","55,459"
E14000833,"66,064","66,146"
E14000834,"65,173","65,984"
E14000835,"70,724","70,252"
E14000836,"81,589","81,043"
E14000837,"67,505","67,603"
E14000838,"74,101","73,462"
E14000839,"74,687","73,591"
E14000840,"66,386","66,050"
E14000841,"87,143","86,990"
E14000842,"83,286","83,223"
E14000843,"71,563","70,949"
E14000844,"74,912","76,152"
E14000845,"75,321","74,535"
E14000846,"70,070","70,989"
E14000847,"67,081","67,729"
E14000848,"68,976","68,440"
E14000849,"79,954","80,427"
E14000850,"78,469","78,600"
E14000851,"80,620","82,642"
E14000852,"71,552","71,261"
E14000853,"77,252","76,873"
E14000854,"69,639","68,909"
E14000855,"91,982","91,121"
E14000856,"71,567","70,842"
E14000857,"80,902","80,165"
E14000858,"76,225","77,909"
E14000859,"71,241","70,507"
E14000860,"70,473","69,978"
E14000861,"58,324","58,398"
E14000862,"60,993","60,927"
E14000863,"65,593","65,043"
E14000864,"71,321","68,713"
E14000865,"63,628","58,930"
E14000866,"68,434","65,727"
E14000867,"74,362","67,583"
E14000868,"68,637","68,404"
E14000869,"65,559","64,598"
E14000870,"70,897","70,508"
E14000871,"70,945","71,072"
E14000872,"67,821","67,928"
E14000873,"72,492","71,040"
E14000874,"74,248","73,474"
E14000875,"64,257","63,996"
E14000876,"71,531","69,985"
E14000877,"65,549","65,471"
E14000878,"70,424","69,224"
E14000879,"68,035","68,057"
E14000880,"72,304","71,693"
E14000881,"72,665","72,432"
E14000882,"85,211","84,355"
E14000883,"70,748","70,108"
E14000884,"71,266","67,696"
E14000885,"55,937","55,512"
E14000886,"70,517","70,447"
E14000887,"61,765","59,382"
E14000888,"78,120","77,977"
E14000889,"72,647","70,817"
E14000890,"73,006","72,458"
E14000891,"65,524","65,270"
E14000892,"63,385","62,863"
E14000893,"72,855","72,322"
E14000894,"76,974","75,883"
E14000895,"80,215","80,399"
E14000896,"78,107","77,207"
E14000897,"78,002","77,929"
E14000898,"79,484","80,271"
E14000899,"72,203","72,568"
E14000900,"73,415","72,046"
E14000901,"65,289","64,295"
E14000902,"71,616","71,461"
E14000903,"74,654","73,996"
E14000904,"62,058","61,218"
E14000905,"71,252","70,390"
E14000906,"72,357","71,356"
E14000907,"71,694","71,961"
E14000908,"73,951","73,411"
E14000909,"77,784","78,190"
E14000910,"81,581","82,534"
E14000911,"75,775","75,255"
E14000912,"71,614","71,142"
E14000913,"72,357","71,546"
E14000914,"61,138","63,071"
E14000915,"63,518","63,196"
E14000916,"69,428","68,803"
E14000917,"75,424","75,700"
E14000918,"70,620","70,271"
E14000919,"78,490","79,375"
E14000920,"69,784","67,029"
E14000921,"71,359","67,879"
E14000922,"74,626","69,285"
E14000923,"68,394","65,373"
E14000924,"75,797","76,220"
E14000925,"72,242","71,682"
E14000926,"78,625","78,564"
E14000927,"81,092","81,552"
E14000928,"77,167","76,632"
E14000929,"90,229","90,874"
E14000930,"80,679","81,950"
E14000931,"77,078","76,205"
E14000932,"82,487","82,345"
E14000933,"73,617","73,271"
E14000934,"83,790","83,069"
E14000935,"78,689","76,831"
E14000936,"71,224","70,790"
E14000937,"84,668","83,958"
E14000938,"70,599","70,302"
E14000939,"76,722","75,872"
E14000940,"78,779","79,218"
E14000941,"82,930","83,940"
E14000942,"87,516","88,039"
E14000943,"74,937","74,275"
E14000944,"63,003","62,353"
E14000945,"73,658","73,286"
E14000946,"75,255","74,331"
E14000947,"72,223","73,666"
E14000948,"70,891","70,450"
E14000949,"79,137","78,189"
E14000950,"70,039","69,907"
E14000951,"79,970","78,703"
E14000952,"77,453","75,723"
E14000953,"77,319","76,346"
E14000954,"75,628","74,892"
E14000955,"69,071","68,589"
E14000956,"66,857","65,990"
E14000957,"66,480","66,469"
E14000958,"69,971","69,410"
E14000959,"72,030","71,341"
E14000960,"71,856","71,026"
E14000961,"77,338","77,451"
E14000962,"75,205","74,715"
E14000963,"78,271","77,837"
E14000964,"65,966","65,291"
E14000965,"70,533","70,848"
E14000966,"62,401","62,917"
E14000967,"71,432","71,578"
E14000968,"69,764","68,994"
E14000969,"62,906","62,688"
E14000970,"65,023","64,326"
E14000971,"74,698","74,308"
E14000972,"57,802","55,898"
E14000973,"70,742","69,831"
E14000974,"67,249","65,646"
E14000975,"67,755","68,307"
E14000976,"69,763","69,058"
E14000977,"71,031","70,800"
E14000978,"74,414","73,570"
E14000979,"70,615","70,622"
E14000980,"82,616","81,913"
E14000981,"78,528","76,934"
E14000982,"71,432","70,637"
E14000983,"79,684","79,386"
E14000984,"70,119","70,821"
E14000985,"73,443","72,461"
E14000986,"71,818","70,200"
E14000987,"67,750","67,480"
E14000988,"84,295","83,657"
E14000989,"66,579","66,766"
E14000990,"82,436","81,853"
E14000991,"79,617","79,490"
E14000992,"68,026","68,629"
E14000993,"78,101","78,177"
E14000994,"64,368","66,712"
E14000995,"77,788","77,629"
E14000996,"81,116","81,164"
E14000997,"77,545","77,383"
E14000998,"73,213","68,879"
E14000999,"74,377","71,954"
E14001000,"79,112","78,279"
E14001001,"67,404","66,234"
E14001002,"72,537","71,660"
E14001003,"71,977","71,546"
E14001004,"72,726","72,271"
E14001005,"81,420","80,215"
E14001006,"75,991","75,341"
E14001007,"67,738","65,975"
E14001008,"77,735","75,055"
E14001009,"69,031","68,078"
E14001010,"65,845","64,451"
E14001011,"66,367","66,438"
E14001012,"66,512","66,766"
E14001013,"66,553","65,935"
E14001014,"61,162","60,898"
E14001015,"84,587","86,243"
E14001016,"63,219","59,604"
E14001017,"70,559","71,699"
E14001018,"83,840","84,741"
E14001019,"73,439","72,167"
E14001020,"65,953","65,461"
E14001021,"82,280","81,607"
E14001022,"79,937","82,425"
E14001023,"81,821","81,543"
E14001024,"70,129","69,393"
E14001025,"78,313","78,776"
E14001026,"81,473","81,126"
E14001027,"71,749","71,063"
E14001028,"74,111","73,635"
E14001029,"64,007","60,297"
E14001030,"65,839","62,152"
E14001031,"78,196","78,240"
E14001032,"90,695","90,048"
E14001033,"72,049","69,908"
E14001034,"76,516","76,491"
E14001035,"74,050","74,048"
E14001036,"63,592","61,320"
E14001037,"66,011","65,786"
E14001038,"79,819","80,604"
E14001039,"74,241","73,782"
E14001040,"64,935","64,329"
E14001041,"71,328","70,479"
E14001042,"73,136","72,756"
E14001043,"56,931","56,350"
E14001044,"55,084","54,249"
E14001045,"68,325","68,538"
E14001046,"80,906","79,644"
E14001047,"74,110","72,691"
E14001048,"78,846","78,647"
E14001049,"60,495","59,367"
E14001050,"61,768","60,536"
E14001051,"59,080","57,478"
E14001052,"72,702","73,889"
E14001053,"59,812","59,623"
E14001054,"73,054","72,941"
E14001055,"77,270","76,444"
E14001056,"76,046","75,409"
E14001057,"72,254","73,116"
E14001058,"77,231","75,718"
E14001059,"75,373","74,902"
E14001060,"81,075","79,907"
E14001061,"74,181","69,076"
E14001062,"75,489","72,364"
W07000049,"49,662","49,609"
W07000058,"44,583","43,804"
W07000043,"62,535","61,876"
W07000057,"40,146","38,864"
W07000072,"50,514","50,012"
W07000068,"53,277","52,691"
W07000073,"61,934","60,766"
W07000076,"62,913","62,797"
W07000050,"55,118","52,827"
W07000051,"65,920","64,953"
W07000080,"75,314","74,000"
W07000079,"65,438","64,760"
W07000067,"56,037","55,817"
W07000066,"57,041","56,360"
W07000064,"52,655","51,520"
W07000062,"53,774","53,410"
W07000059,"57,124","56,484"
W07000070,"50,258","49,841"
W07000042,"53,878","53,341"
W07000061,"43,791","42,982"
W07000046,"61,484","60,091"
W07000077,"55,066","55,068"
W07000045,"59,381","59,008"
W07000071,"55,119","53,720"
